id_venda,data_venda,mes,ano,trimestre,dia_semana,categoria,produto,marca,preco_unitario,quantidade,desconto_percentual,valor_desconto,valor_total,custo_unitario,margem_bruta,forma_pagamento,regiao,cidade,canal_venda,avaliacao_cliente,devolvido
VND000016,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lavadora 10kg,Electrolux,1308.52,2,0,0.0,2617.04,750.03,1116.98,Cartao Credito,Sul,Florianopolis,E-commerce,3.0,0
VND000017,2025-01-01,1,2025,1,Wednesday,Aspiradores,Aspirador Po 1200W,Britania,327.15,1,5,16.36,310.79,165.94,144.85,Cartao Credito,Sudeste,Belo Horizonte,E-commerce,4.0,1
VND000018,2025-01-01,1,2025,1,Wednesday,Smartphones,Smartphone Mid 128GB,Samsung,1306.81,2,10,261.36,2352.26,723.19,905.88,Cartao Debito,Norte,Rio Branco,E-commerce,2.0,0
VND000019,2025-01-01,1,2025,1,Wednesday,Aspiradores,Aspirador Po 1200W,Philips,325.36,2,0,0.0,650.72,159.15,332.42,Boleto,Nordeste,Natal,App Mobile,4.0,1
VND000020,2025-01-01,1,2025,1,Wednesday,Notebooks,Notebook Celeron 4GB,Dell,1412.01,1,10,141.2,1270.81,736.34,534.47,Cartao Credito,Nordeste,Fortaleza,Loja Fisica,4.0,0
VND000021,2025-01-01,1,2025,1,Wednesday,Aspiradores,Aspirador Po 1200W,Xiaomi,319.15,2,5,31.91,606.39,163.18,280.03,Cartao Debito,Centro-Oeste,Cuiaba,Loja Fisica,2.0,0
VND000022,2025-01-01,1,2025,1,Wednesday,Lavadoras,Lava e Seca 13kg,Samsung,3524.4,1,20,704.88,2819.52,1844.39,975.13,PIX,Nordeste,Fortaleza,App Mobile,5.0,0
VND000023,2025-01-02,1,2025,1,Thursday,Refrigeradores,Frigobar 80L,Electrolux,809.47,1,15,121.42,688.05,440.04,248.01,Boleto,Sul,Florianopolis,E-commerce,5.0,0
VND000024,2025-01-02,1,2025,1,Thursday,Notebooks,Notebook Celeron 4GB,HP,1385.89,1,0,0.0,1385.89,734.9,650.99,Cartao Credito,Sudeste,Guarulhos,Loja Fisica,4.0,0
VND000025,2025-01-02,1,2025,1,Thursday,Televisores,"TV 32"" LED",Philips,1088.47,1,5,54.42,1034.05,566.48,467.57,Cartao Debito,Nordeste,Natal,Televendas,5.0,0
VND000026,2025-01-02,1,2025,1,Thursday,Refrigeradores,Geladeira 500L French Door,Brastemp,5735.73,1,0,0.0,5735.73,3055.27,2680.46,Cartao Credito,Nordeste,Maceio,E-commerce,5.0,0
VND000027,2025-01-02,1,2025,1,Thursday,Aspiradores,Aspirador Vertical,Xiaomi,587.44,3,10,176.23,1586.09,287.33,724.1,Boleto,Sudeste,Rio de Janeiro,Loja Fisica,,1
VND000028,2025-01-02,1,2025,1,Thursday,Televisores,"TV 43"" 4K",Philips,1917.02,1,5,95.85,1821.17,981.72,839.45,PIX,Nordeste,Fortaleza,Loja Fisica,3.0,0
VND000029,2025-01-02,1,2025,1,Thursday,Lavadoras,Lava e Seca 13kg,Samsung,3663.48,2,5,366.35,6960.61,1949.55,3061.51,Cartao Credito,Sul,Joinville,Loja Fisica,,0
VND000030,2025-01-02,1,2025,1,Thursday,Notebooks,Notebook Gaming RTX,Samsung,7949.41,1,0,0.0,7949.41,4276.08,3673.33,Cartao Debito,Sul,Londrina,E-commerce,5.0,0
VND000031,2025-01-02,1,2025,1,Thursday,Televisores,"TV 75"" 4K Smart",Samsung,8333.44,1,0,0.0,8333.44,4376.72,3956.72,Financiamento,Sul,Joinville,Loja Fisica,5.0,0
VND000032,2025-01-02,1,2025,1,Thursday,Lavadoras,Lava e Seca 11kg,Consul,2929.91,1,5,146.5,2783.41,1598.44,1184.97,PIX,Nordeste,Natal,App Mobile,4.0,0
VND000033,2025-01-02,1,2025,1,Thursday,Notebooks,Notebook Gaming RTX,Acer,8107.0,2,15,2432.1,13781.9,4000.5,5780.9,PIX,Sudeste,Sao Paulo,E-commerce,,0
VND000034,2025-01-02,1,2025,1,Thursday,Refrigeradores,Frigobar 80L,Samsung,822.48,1,0,0.0,822.48,455.25,367.23,Cartao Credito,Centro-Oeste,Campo Grande,E-commerce,,0
VND000035,2025-01-02,1,2025,1,Thursday,Refrigeradores,Geladeira 500L French Door,Samsung,5551.06,1,5,277.55,5273.51,3144.31,2129.2,Cartao Debito,Norte,Porto Velho,Televendas,4.0,0
VND000036,2025-01-02,1,2025,1,Thursday,Fogoes,Fogao 6 Bocas,Brastemp,1499.27,2,5,149.93,2848.61,797.03,1254.55,Cartao Debito,Centro-Oeste,Brasilia,App Mobile,5.0,0
VND000037,2025-01-02,1,2025,1,Thursday,Fogoes,Fogao 4 Bocas,Atlas,704.99,1,15,105.75,599.24,398.69,200.55,Financiamento,Sudeste,Belo Horizonte,E-commerce,4.0,0
VND000038,2025-01-02,1,2025,1,Thursday,Smartphones,Smartphone Top 256GB,Apple,2525.02,1,20,505.0,2020.02,1356.92,663.1,Boleto,Sudeste,Campinas,Loja Fisica,2.0,0
VND000039,2025-01-02,1,2025,1,Thursday,Smartphones,Smartphone Mid 128GB,Apple,1398.49,1,10,139.85,1258.64,727.47,531.17,Cartao Credito,Sul,Joinville,App Mobile,4.0,0
VND000040,2025-01-03,1,2025,1,Friday,Tablets,"Tablet 8"" 32GB",Samsung,749.92,1,0,0.0,749.92,400.69,349.23,Cartao Credito,Sul,Porto Alegre,E-commerce,2.0,0
VND000041,2025-01-03,1,2025,1,Friday,Aspiradores,Aspirador Po 1200W,Black+Decker,328.79,1,15,49.32,279.47,160.83,118.64,PIX,Centro-Oeste,Campo Grande,App Mobile,,0
VND000042,2025-01-03,1,2025,1,Friday,Lavadoras,Lava e Seca 13kg,Samsung,3726.81,2,10,745.36,6708.26,1866.2,2975.86,PIX,Sul,Florianopolis,App Mobile,4.0,0
VND000043,2025-01-03,1,2025,1,Friday,Televisores,"TV 75"" 4K Smart",Sony,8306.56,1,15,1245.98,7060.58,4512.54,2548.04,PIX,Sul,Porto Alegre,Loja Fisica,4.0,0
VND000044,2025-01-03,1,2025,1,Friday,Televisores,"TV 75"" 4K Smart",TCL,8196.28,2,0,0.0,16392.56,4402.75,7587.06,Cartao Debito,Sul,Curitiba,Televendas,,0
VND000045,2025-01-03,1,2025,1,Friday,Refrigeradores,Frigobar 80L,Electrolux,845.03,1,0,0.0,845.03,440.91,404.12,Cartao Credito,Nordeste,Natal,E-commerce,5.0,0
VND000046,2025-01-03,1,2025,1,Friday,Smartphones,Smartphone Top 256GB,Motorola,2667.75,2,5,266.77,5068.73,1412.74,2243.25,Cartao Credito,Sudeste,Rio de Janeiro,Loja Fisica,3.0,0
VND000047,2025-01-03,1,2025,1,Friday,Lavadoras,Lava e Seca 13kg,Samsung,3520.36,1,15,528.05,2992.31,1978.11,1014.2,Cartao Debito,Sul,Florianopolis,E-commerce,4.0,0
VND000048,2025-01-03,1,2025,1,Friday,Aspiradores,Aspirador Robot,Britania,1652.1,1,20,330.42,1321.68,841.86,479.82,PIX,Sul,Porto Alegre,Loja Fisica,,0
VND000049,2025-01-03,1,2025,1,Friday,Fogoes,Fogao 6 Bocas,Brastemp,1497.52,1,0,0.0,1497.52,774.97,722.55,Cartao Credito,Sul,Curitiba,E-commerce,3.0,0
VND000050,2025-01-03,1,2025,1,Friday,Lavadoras,Lavadora 10kg,Electrolux,1337.34,1,0,0.0,1337.34,698.98,638.36,Cartao Credito,Sudeste,Guarulhos,E-commerce,4.0,0
VND000051,2025-01-03,1,2025,1,Friday,Tablets,"Tablet 8"" 32GB",Samsung,737.44,1,0,0.0,737.44,392.91,344.53,Cartao Debito,Sudeste,Campinas,App Mobile,4.0,0
VND000052,2025-01-03,1,2025,1,Friday,Lavadoras,Lava e Seca 13kg,Samsung,3735.39,1,10,373.54,3361.85,1904.32,1457.53,Cartao Credito,Nordeste,Natal,E-commerce,,0
VND000053,2025-01-03,1,2025,1,Friday,Tablets,"Tablet 11"" 128GB",Lenovo,2342.64,2,10,468.53,4216.75,1216.63,1783.49,PIX,Nordeste,Recife,E-commerce,,0
VND000054,2025-01-03,1,2025,1,Friday,Aspiradores,Aspirador Vertical,Black+Decker,591.3,3,5,88.69,1685.21,287.43,822.92,Boleto,Sul,Curitiba,Loja Fisica,3.0,0
VND000055,2025-01-03,1,2025,1,Friday,Ar Condicionado,Ar 24000 BTU Split,Daikin,3570.27,1,5,178.51,3391.76,1728.09,1663.67,Cartao Credito,Centro-Oeste,Brasilia,Loja Fisica,,0
VND000056,2025-01-03,1,2025,1,Friday,Notebooks,Notebook i7 16GB,Dell,4239.05,1,0,0.0,4239.05,2207.58,2031.47,Cartao Credito,Sudeste,Sao Paulo,Loja Fisica,5.0,1
VND000057,2025-01-03,1,2025,1,Friday,Lavadoras,Lavadora 10kg,Brastemp,1336.4,1,0,0.0,1336.4,721.38,615.02,Financiamento,Sudeste,Sao Paulo,Loja Fisica,,0
VND000058,2025-01-03,1,2025,1,Friday,Fogoes,Fogao 6 Bocas,Fischer,1534.96,1,0,0.0,1534.96,799.16,735.8,PIX,Sudeste,Sao Paulo,E-commerce,,0
VND000059,2025-01-03,1,2025,1,Friday,Aspiradores,Aspirador Vertical,Electrolux,561.83,1,10,56.18,505.65,291.15,214.5,Cartao Credito,Sul,Curitiba,Televendas,5.0,0
VND000060,2025-01-03,1,2025,1,Friday,Lavadoras,Lavadora 12kg,LG,1754.94,3,5,263.24,5001.58,917.57,2248.87,Cartao Credito,Centro-Oeste,Anapolis,Loja Fisica,1.0,0
VND000061,2025-01-04,1,2025,1,Saturday,Aspiradores,Aspirador Robot,Britania,1652.53,2,0,0.0,3305.06,815.82,1673.42,Boleto,Sudeste,Rio de Janeiro,E-commerce,4.0,0
VND000062,2025-01-04,1,2025,1,Saturday,Lavadoras,Lava e Seca 11kg,Samsung,2853.97,1,15,428.1,2425.87,1564.43,861.44,Financiamento,Norte,Porto Velho,App Mobile,4.0,0
VND000063,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 24000 BTU Split,LG,3404.53,2,0,0.0,6809.06,1886.17,3036.72,Financiamento,Nordeste,Salvador,App Mobile,4.0,0
VND000064,2025-01-04,1,2025,1,Saturday,Notebooks,Notebook Celeron 4GB,Dell,1369.22,2,15,410.77,2327.67,733.59,860.49,Cartao Debito,Sudeste,Campinas,Televendas,3.0,0
VND000065,2025-01-04,1,2025,1,Saturday,Televisores,"TV 32"" LED",Philips,1035.36,1,0,0.0,1035.36,566.4,468.96,PIX,Nordeste,Recife,Loja Fisica,5.0,0
VND000066,2025-01-04,1,2025,1,Saturday,Tablets,"Tablet 10"" 64GB",Samsung,1231.35,2,10,246.27,2216.43,659.47,897.49,Cartao Credito,Sudeste,Campinas,Loja Fisica,,0
VND000067,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 12000 BTU Split,Daikin,1905.6,1,0,0.0,1905.6,1023.85,881.75,Financiamento,Centro-Oeste,Anapolis,E-commerce,,0
VND000068,2025-01-04,1,2025,1,Saturday,Fogoes,Fogao 6 Bocas,Electrolux,1495.49,2,0,0.0,2990.98,762.28,1466.42,Cartao Debito,Nordeste,Salvador,App Mobile,5.0,0
VND000069,2025-01-04,1,2025,1,Saturday,Fogoes,Fogao 5 Bocas Inox,Fischer,1034.42,2,15,310.33,1758.51,540.37,677.77,Cartao Credito,Sudeste,Campinas,E-commerce,4.0,0
VND000070,2025-01-04,1,2025,1,Saturday,Televisores,"TV 43"" 4K",Philips,1975.42,2,0,0.0,3950.84,1018.86,1913.12,Cartao Credito,Sudeste,Sao Paulo,Loja Fisica,1.0,0
VND000071,2025-01-04,1,2025,1,Saturday,Micro-ondas,Micro-ondas 20L,Panasonic,365.48,3,15,164.47,931.97,197.02,340.91,Boleto,Sul,Porto Alegre,App Mobile,5.0,0
VND000072,2025-01-04,1,2025,1,Saturday,Aspiradores,Aspirador Po 1200W,Electrolux,328.85,2,0,0.0,657.7,166.27,325.16,Financiamento,Nordeste,Fortaleza,Loja Fisica,2.0,0
VND000073,2025-01-04,1,2025,1,Saturday,Refrigeradores,Geladeira 300L Frost Free,LG,1904.66,2,5,190.47,3618.85,1040.71,1537.43,PIX,Sul,Londrina,Televendas,4.0,0
VND000074,2025-01-04,1,2025,1,Saturday,Aspiradores,Aspirador Vertical,Electrolux,567.2,2,10,113.44,1020.96,308.39,404.18,Cartao Debito,Sudeste,Rio de Janeiro,Loja Fisica,,0
VND000075,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 12000 BTU Split,LG,1842.91,1,10,184.29,1658.62,1034.94,623.68,Cartao Debito,Sudeste,Sao Paulo,Loja Fisica,4.0,0
VND000076,2025-01-04,1,2025,1,Saturday,Micro-ondas,Micro-ondas 32L Grill,Consul,754.17,1,0,0.0,754.17,374.35,379.82,Cartao Credito,Sudeste,Sao Paulo,E-commerce,3.0,0
VND000077,2025-01-04,1,2025,1,Saturday,Fogoes,Fogao 4 Bocas,Fischer,722.49,3,10,216.75,1950.72,388.29,785.85,Cartao Credito,Sudeste,Rio de Janeiro,E-commerce,5.0,0
VND000078,2025-01-04,1,2025,1,Saturday,Aspiradores,Aspirador Vertical,Xiaomi,583.14,1,0,0.0,583.14,307.78,275.36,Cartao Debito,Nordeste,Salvador,E-commerce,5.0,0
VND000079,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 12000 BTU Split,Samsung,1933.26,3,0,0.0,5799.78,940.96,2976.9,PIX,Sudeste,Rio de Janeiro,Televendas,,0
VND000080,2025-01-04,1,2025,1,Saturday,Fogoes,Fogao 4 Bocas,Consul,718.58,1,5,35.93,682.65,373.64,309.01,Boleto,Sudeste,Sao Paulo,Loja Fisica,,0
VND000081,2025-01-04,1,2025,1,Saturday,Lavadoras,Lava e Seca 11kg,LG,2864.29,1,0,0.0,2864.29,1606.59,1257.7,Cartao Credito,Sudeste,Rio de Janeiro,E-commerce,3.0,0
VND000082,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 18000 BTU Split,Springer,2666.17,2,20,1066.47,4265.87,1331.79,1602.29,Financiamento,Centro-Oeste,Brasilia,Loja Fisica,3.0,0
VND000083,2025-01-04,1,2025,1,Saturday,Smartphones,Smartphone Top 256GB,Realme,2605.46,1,20,521.09,2084.37,1339.7,744.67,Boleto,Sul,Londrina,Loja Fisica,,0
VND000084,2025-01-04,1,2025,1,Saturday,Micro-ondas,Micro-ondas 20L,Consul,383.61,2,0,0.0,767.22,194.73,377.76,Cartao Credito,Sul,Londrina,Loja Fisica,5.0,0
VND000085,2025-01-04,1,2025,1,Saturday,Tablets,"Tablet 11"" 128GB",Amazon,2234.83,1,5,111.74,2123.09,1219.61,903.48,Cartao Debito,Norte,Macapa,Loja Fisica,5.0,0
VND000086,2025-01-04,1,2025,1,Saturday,Ar Condicionado,Ar 12000 BTU Split,Samsung,1957.55,1,0,0.0,1957.55,1014.35,943.2,Financiamento,Sul,Florianopolis,Loja Fisica,,0
VND000087,2025-01-05,1,2025,1,Sunday,Fogoes,Fogao 5 Bocas Inox,Consul,1057.76,1,10,105.78,951.98,523.34,428.64,Cartao Debito,Sul,Joinville,E-commerce,4.0,0
VND000088,2025-01-05,1,2025,1,Sunday,Micro-ondas,Micro-ondas 32L Grill,Panasonic,723.61,1,15,108.54,615.07,367.97,247.1,PIX,Nordeste,Recife,App Mobile,,0
VND000089,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 18000 BTU Split,Midea,2669.9,1,10,266.99,2402.91,1409.14,993.77,Boleto,Centro-Oeste,Goiania,E-commerce,5.0,0
VND000090,2025-01-05,1,2025,1,Sunday,Micro-ondas,Micro-ondas 20L,Electrolux,358.46,1,20,71.69,286.77,185.22,101.55,Financiamento,Centro-Oeste,Brasilia,E-commerce,5.0,0
VND000091,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 12000 BTU Split,Samsung,1838.65,1,5,91.93,1746.72,1016.18,730.54,Cartao Debito,Centro-Oeste,Campo Grande,Televendas,3.0,0
VND000092,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 24000 BTU Split,Samsung,3586.21,1,0,0.0,3586.21,1764.64,1821.57,Financiamento,Sudeste,Sao Paulo,E-commerce,4.0,0
VND000093,2025-01-05,1,2025,1,Sunday,Notebooks,Notebook i7 16GB,Acer,4447.29,1,0,0.0,4447.29,2326.51,2120.78,Cartao Credito,Norte,Porto Velho,E-commerce,5.0,0
VND000094,2025-01-05,1,2025,1,Sunday,Notebooks,Notebook i5 8GB,HP,2509.47,1,5,125.47,2384.0,1381.72,1002.28,Cartao Credito,Norte,Porto Velho,Loja Fisica,,0
VND000095,2025-01-05,1,2025,1,Sunday,Aspiradores,Aspirador Robot,Electrolux,1524.64,1,20,304.93,1219.71,825.98,393.73,Cartao Credito,Sudeste,Guarulhos,Loja Fisica,,0
VND000096,2025-01-05,1,2025,1,Sunday,Notebooks,Notebook Gaming RTX,Lenovo,8259.45,1,5,412.97,7846.48,4096.49,3749.99,PIX,Sudeste,Rio de Janeiro,Loja Fisica,,0
VND000097,2025-01-05,1,2025,1,Sunday,Tablets,"Tablet 8"" 32GB",Positivo,739.46,1,0,0.0,739.46,367.69,371.77,PIX,Sul,Porto Alegre,Loja Fisica,,0
VND000098,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 18000 BTU Split,LG,2723.46,1,5,136.17,2587.29,1359.48,1227.81,PIX,Sudeste,Campinas,Loja Fisica,5.0,0
VND000099,2025-01-05,1,2025,1,Sunday,Lavadoras,Lava e Seca 13kg,Consul,3556.23,1,5,177.81,3378.42,1998.65,1379.77,Cartao Debito,Nordeste,Natal,Loja Fisica,2.0,0
VND000100,2025-01-05,1,2025,1,Sunday,Fogoes,Fogao 5 Bocas Inox,Brastemp,1069.72,1,0,0.0,1069.72,549.69,520.03,Cartao Debito,Norte,Rio Branco,Loja Fisica,5.0,0
VND000101,2025-01-05,1,2025,1,Sunday,Notebooks,Notebook Gaming RTX,Lenovo,7679.28,1,5,383.96,7295.32,4081.83,3213.49,Cartao Credito,Nordeste,Maceio,E-commerce,5.0,0
VND000102,2025-01-05,1,2025,1,Sunday,Refrigeradores,Geladeira 400L Duplex,Electrolux,3095.79,1,5,154.79,2941.0,1541.93,1399.07,Cartao Credito,Nordeste,Maceio,Loja Fisica,5.0,0
VND000103,2025-01-05,1,2025,1,Sunday,Refrigeradores,Geladeira 400L Duplex,Electrolux,2929.54,1,0,0.0,2929.54,1520.22,1409.32,PIX,Sudeste,Belo Horizonte,Loja Fisica,3.0,0
VND000104,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 24000 BTU Split,Daikin,3580.51,2,10,716.1,6444.92,1732.56,2979.8,PIX,Centro-Oeste,Cuiaba,E-commerce,4.0,0
VND000105,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 12000 BTU Split,Springer,1966.16,1,0,0.0,1966.16,1034.84,931.32,Cartao Credito,Sudeste,Rio de Janeiro,E-commerce,,0
VND000106,2025-01-05,1,2025,1,Sunday,Lavadoras,Lavadora 12kg,Brastemp,1664.79,1,0,0.0,1664.79,855.92,808.87,PIX,Sudeste,Rio de Janeiro,App Mobile,4.0,0
VND000107,2025-01-05,1,2025,1,Sunday,Smartphones,Smartphone Mid 128GB,Samsung,1350.6,1,0,0.0,1350.6,694.34,656.26,Cartao Debito,Sudeste,Belo Horizonte,E-commerce,2.0,0
VND000108,2025-01-05,1,2025,1,Sunday,Aspiradores,Aspirador Robot,Electrolux,1607.4,2,20,642.96,2571.84,839.12,893.6,PIX,Sudeste,Sao Paulo,E-commerce,5.0,1
VND000109,2025-01-05,1,2025,1,Sunday,Lavadoras,Lava e Seca 11kg,Consul,2978.73,2,0,0.0,5957.46,1541.15,2875.16,Financiamento,Sul,Florianopolis,Loja Fisica,4.0,0
VND000110,2025-01-05,1,2025,1,Sunday,Fogoes,Fogao 6 Bocas,Brastemp,1429.67,1,15,214.45,1215.22,759.8,455.42,Cartao Credito,Nordeste,Fortaleza,E-commerce,,0
VND000111,2025-01-05,1,2025,1,Sunday,Lavadoras,Lava e Seca 13kg,Consul,3726.13,1,10,372.61,3353.52,1835.85,1517.67,Financiamento,Sul,Florianopolis,Loja Fisica,5.0,0
VND000112,2025-01-05,1,2025,1,Sunday,Notebooks,Notebook i7 16GB,Dell,4289.47,1,0,0.0,4289.47,2395.52,1893.95,Cartao Credito,Sudeste,Rio de Janeiro,Televendas,3.0,0
VND000113,2025-01-05,1,2025,1,Sunday,Lavadoras,Lava e Seca 13kg,Brastemp,3513.99,1,20,702.8,2811.19,1933.85,877.34,Cartao Credito,Norte,Belem,Loja Fisica,,0
VND000114,2025-01-05,1,2025,1,Sunday,Ar Condicionado,Ar 12000 BTU Split,LG,1809.27,1,0,0.0,1809.27,1035.73,773.54,PIX,Sudeste,Rio de Janeiro,E-commerce,4.0,0
VND000115,2025-01-05,1,2025,1,Sunday,Tablets,"Tablet 8"" 32GB",Lenovo,726.48,1,5,36.32,690.16,379.89,310.27,PIX,Nordeste,Fortaleza,Televendas,1.0,0
VND000116,2025-01-05,1,2025,1,Sunday,Micro-ondas,Micro-ondas 32L Grill,Consul,708.47,1,0,0.0,708.47,392.71,315.76,Cartao Debito,Sul,Joinville,E-commerce,4.0,0
VND000117,2025-01-06,1,2025,1,Monday,Ar Condicionado,Ar 9000 BTU Split,Daikin,1522.08,1,0,0.0,1522.08,780.3,741.78,Cartao Debito,Sul,Joinville,App Mobile,4.0,0
VND000118,2025-01-06,1,2025,1,Monday,Notebooks,Notebook Celeron 4GB,Dell,1348.24,1,0,0.0,1348.24,728.49,619.75,Cartao Debito,Sudeste,Belo Horizonte,E-commerce,5.0,0
VND000119,2025-01-06,1,2025,1,Monday,Notebooks,Notebook i5 8GB,Lenovo,2618.11,2,0,0.0,5236.22,1340.68,2554.86,PIX,Sudeste,Rio de Janeiro,Loja Fisica,5.0,0
VND000120,2025-01-06,1,2025,1,Monday,Lavadoras,Lavadora 10kg,Brastemp,1400.91,1,15,210.14,1190.77,708.94,481.83,Cartao Debito,Sul,Curitiba,E-commerce,,0
VND000121,2025-01-06,1,2025,1,Monday,Micro-ondas,Micro-ondas 32L Grill,Electrolux,734.0,1,15,110.1,623.9,396.53,227.37,PIX,Nordeste,Salvador,Loja Fisica,5.0,0
VND000122,2025-01-06,1,2025,1,Monday,Ar Condicionado,Ar 24000 BTU Split,Springer,3292.98,1,5,164.65,3128.33,1754.69,1373.64,Cartao Credito,Nordeste,Maceio,E-commerce,5.0,0
VND000123,2025-01-06,1,2025,1,Monday,Lavadoras,Lavadora 12kg,Samsung,1625.56,2,5,162.56,3088.56,921.92,1244.72,Boleto,Sudeste,Sao Paulo,E-commerce,3.0,0
VND000124,2025-01-06,1,2025,1,Monday,Tablets,"Tablet 11"" 128GB",Positivo,2218.72,1,0,0.0,2218.72,1230.35,988.37,Cartao Credito,Sudeste,Sao Paulo,Loja Fisica,4.0,0
VND000125,2025-01-06,1,2025,1,Monday,Televisores,"TV 55"" QLED",Samsung,3201.01,2,0,0.0,6402.02,1720.73,2960.56,Cartao Credito,Nordeste,Maceio,E-commerce,5.0,0
VND000126,2025-01-06,1,2025,1,Monday,Smartphones,Smartphone Premium 512GB,Motorola,5181.13,2,20,2072.45,8289.81,2709.87,2870.07,Boleto,Norte,Macapa,E-commerce,,0
VND000127,2025-01-06,1,2025,1,Monday,Refrigeradores,Geladeira 300L Frost Free,Samsung,2067.83,1,15,310.17,1757.66,1065.26,692.4,Financiamento,Sudeste,Sao Paulo,App Mobile,,0
VND000128,2025-01-06,1,2025,1,Monday,Smartphones,Smartphone Premium 512GB,Realme,5346.68,2,5,534.67,10158.69,2834.01,4490.67,PIX,Sudeste,Belo Horizonte,Loja Fisica,2.0,0
VND000129,2025-01-06,1,2025,1,Monday,Tablets,"Tablet 8"" 32GB",Positivo,732.82,1,10,73.28,659.54,393.46,266.08,Cartao Credito,Norte,Macapa,App Mobile,5.0,0
VND000130,2025-01-06,1,2025,1,Monday,Ar Condicionado,Ar 12000 BTU Split,LG,1960.02,2,10,392.0,3528.04,1026.53,1474.98,Cartao Credito,Sul,Curitiba,Loja Fisica,4.0,0
