ID,Marca,Modelo,Ano,Cor,Combustível,Potência (cv),Número de Portas,Quilômetros,Condição,Garantia (meses),Cidade,Estado,Preço (R$)
101,Toyota,Corolla,2014,Laranja,Gasolina,120,4,119518,Usado - Bom Estado,12,São Paulo,SP,5519.15
102,Ford,Ranger,2013,Preto,Flex,75,5,2029,Usado - Como Novo,24,Porto Alegre,RS,5835.99
103,Volkswagen,Gol,2025,Laranja,Elétrico,75,4,146,Novo,48,Recife,PE,17413.89
104,Chevrolet,Malibu,2019,Branco,Flex,85,2,255645,Usado - Regular,12,Belém,PA,4000.0
105,Mercedes,GLA 200,2017,Vermelho,Flex,150,4,89617,Usado - Bom Estado,36,Curitiba,PR,20964.56
106,Volkswagen,Fox,2015,Marrom,Flex,75,4,275304,Usado - Regular,24,Rio de Janeiro,RJ,4000.0
107,Hyundai,HB20,2016,Cinza,Híbrido,130,4,26408,Usado - Como Novo,12,Belém,PA,9425.51
108,Fiat,500,2016,Beige,Flex,130,4,12467,Usado - Como Novo,0,Rio de Janeiro,RJ,5206.69
109,Honda,Fit,2024,Prata,Diesel,150,5,4094,Usado - Como Novo,24,Curitiba,PR,16520.92
110,Toyota,Hilux,2020,Laranja,Flex,100,4,51487,Usado - Bom Estado,24,Goiânia,GO,8309.78
111,Volkswagen,Gol,2024,Vermelho,Gasolina,150,5,329,Novo,48,Salvador,BA,15460.47
112,Honda,CR-V,2024,Azul,Híbrido,80,5,21466,Usado - Como Novo,36,Curitiba,PR,15795.68
113,BMW,X3,2020,Verde,Flex,280,5,92159,Usado - Bom Estado,36,Salvador,BA,33249.03
114,Nissan,March,2019,Prata,Híbrido,130,4,78408,Usado - Bom Estado,0,Porto Alegre,RS,6445.42
115,Ford,Focus,2019,Verde,Híbrido,150,4,249763,Usado - Regular,36,Belo Horizonte,MG,4000.0
116,Kia,Picanto,2023,Branco,Diesel,110,4,256705,Usado - Regular,12,Florianópolis,SC,4000.0
117,Nissan,March,2013,Verde,Flex,85,2,118711,Usado - Bom Estado,48,Porto Alegre,RS,4000.0
118,Honda,Civic,2025,Marrom,Elétrico,120,4,32919,Usado - Como Novo,12,Recife,PE,16900.01
119,Mercedes,GLA 200,2014,Verde,Híbrido,180,5,10291,Usado - Como Novo,12,Fortaleza,CE,32761.02
120,Chevrolet,Onix,2025,Cinza,Híbrido,60,5,8076,Usado - Como Novo,12,São Paulo,SP,12186.95
121,Nissan,Kicks,2019,Azul,Elétrico,110,4,2044,Usado - Como Novo,6,Recife,PE,10020.44
122,Mercedes,GLA 200,2024,Laranja,Gasolina,150,2,6397,Usado - Como Novo,12,Belo Horizonte,MG,39511.88
123,Volkswagen,Polo,2016,Cinza,Diesel,110,5,32,Novo,12,Salvador,BA,10820.39
124,Toyota,RAV4,2018,Branco,Gasolina,200,2,17788,Usado - Como Novo,24,Belém,PA,11387.44
125,Honda,Civic,2025,Cinza,Gasolina,180,5,348071,Usado - Regular,0,Belo Horizonte,MG,4090.25
126,Hyundai,i30,2019,Branco,Diesel,85,4,150887,Usado - Regular,24,Fortaleza,CE,4000.0
127,Nissan,Leaf,2017,Cinza,Elétrico,100,5,61815,Usado - Bom Estado,24,Florianópolis,SC,6146.05
128,Kia,Picanto,2016,Prata,Diesel,60,5,464,Novo,48,Recife,PE,9416.97
129,Toyota,Yaris,2019,Cinza,Elétrico,150,4,303962,Usado - Regular,48,Curitiba,PR,4203.43
130,Chevrolet,Trax,2012,Cinza,Flex,100,4,13104,Usado - Como Novo,12,Belo Horizonte,MG,4702.27
131,Hyundai,Tucson,2012,Branco,Gasolina,85,2,80504,Usado - Bom Estado,24,Recife,PE,4000.0
132,Honda,Civic,2012,Laranja,Flex,100,4,201213,Usado - Regular,24,Fortaleza,CE,4000.0
133,Toyota,Corolla,2014,Verde,Flex,120,4,2507,Usado - Como Novo,0,Curitiba,PR,10498.31
134,Volkswagen,T-Cross,2021,Preto,Gasolina,110,5,158748,Usado - Regular,6,Porto Alegre,RS,4000.0
135,BMW,X1,2024,Preto,Híbrido,200,2,39274,Usado - Como Novo,0,Belo Horizonte,MG,52307.91
136,Volkswagen,Fox,2023,Azul,Gasolina,85,4,240649,Usado - Regular,0,Recife,PE,4000.0
137,Chevrolet,Onix,2017,Marrom,Flex,85,4,4306,Usado - Como Novo,6,Salvador,BA,7153.24
138,Fiat,Palio,2017,Preto,Gasolina,110,5,15308,Usado - Como Novo,36,Belém,PA,5517.9
139,Hyundai,HB20,2016,Branco,Diesel,85,5,95655,Usado - Bom Estado,36,Fortaleza,CE,5443.73
140,Audi,A4,2024,Preto,Gasolina,150,4,14068,Usado - Como Novo,48,São Paulo,SP,40411.53
141,Audi,Q3,2024,Azul,Gasolina,320,4,23587,Usado - Como Novo,12,Belém,PA,54718.83
142,Volkswagen,T-Cross,2025,Marrom,Flex,150,4,40738,Usado - Bom Estado,6,Recife,PE,10277.46
143,Chevrolet,Equinox,2018,Beige,Flex,110,4,37589,Usado - Como Novo,0,Fortaleza,CE,7245.57
144,Volkswagen,Fox,2016,Azul,Diesel,60,5,215754,Usado - Regular,36,Belo Horizonte,MG,4000.0
145,Volkswagen,Polo,2025,Branco,Gasolina,60,4,9520,Usado - Como Novo,0,Belém,PA,10016.86
146,Toyota,Corolla,2013,Beige,Flex,120,5,13912,Usado - Como Novo,48,Florianópolis,SC,8888.12
147,Ford,Ecosport,2015,Cinza,Híbrido,130,4,84565,Usado - Bom Estado,6,Manaus,AM,4920.43
148,Chevrolet,S10,2012,Beige,Flex,130,5,2975,Usado - Como Novo,24,Florianópolis,SC,5874.98
149,Toyota,Camry,2018,Preto,Flex,180,4,315,Novo,12,Porto Alegre,RS,15578.66
150,Volkswagen,Gol,2015,Azul,Diesel,150,5,31786,Usado - Como Novo,0,Recife,PE,7892.91
151,Mercedes,GLA 200,2024,Verde,Diesel,150,2,73318,Usado - Bom Estado,12,Belo Horizonte,MG,28416.15
152,Volkswagen,Polo,2015,Beige,Flex,60,4,48072,Usado - Bom Estado,6,Curitiba,PR,5383.81
153,Honda,Civic,2024,Cinza,Diesel,180,5,29558,Usado - Como Novo,24,Florianópolis,SC,15350.11
154,Chevrolet,Equinox,2015,Cinza,Flex,100,2,220490,Usado - Regular,24,Salvador,BA,4000.0
155,Audi,A3,2014,Branco,Híbrido,150,5,104747,Usado - Bom Estado,0,Belo Horizonte,MG,21530.05
156,Volkswagen,Tiguan,2019,Branco,Diesel,110,2,85472,Usado - Bom Estado,0,Salvador,BA,6191.44
157,Ford,Ranger,2015,Beige,Flex,110,5,205395,Usado - Regular,48,Rio de Janeiro,RJ,4000.0
158,Fiat,500,2019,Prata,Flex,75,4,339,Novo,6,Fortaleza,CE,7849.96
159,Volkswagen,Gol,2020,Cinza,Gasolina,75,4,71892,Usado - Bom Estado,0,Recife,PE,6713.0
160,Fiat,500,2012,Azul,Diesel,150,2,90482,Usado - Bom Estado,0,Fortaleza,CE,4000.0
161,Hyundai,Tucson,2015,Prata,Elétrico,100,4,143,Novo,0,Rio de Janeiro,RJ,10756.69
162,Ford,Fusion,2017,Cinza,Híbrido,85,4,93425,Usado - Bom Estado,0,Manaus,AM,5764.55
163,Ford,Fusion,2019,Prata,Gasolina,110,4,221879,Usado - Regular,0,Recife,PE,4000.0
164,Chevrolet,Equinox,2025,Verde,Elétrico,75,4,43369,Usado - Bom Estado,0,Porto Alegre,RS,9260.29
165,Toyota,RAV4,2017,Beige,Gasolina,100,4,20142,Usado - Como Novo,48,Florianópolis,SC,10703.16
166,Kia,Soul,2023,Laranja,Gasolina,130,5,11190,Usado - Como Novo,24,Salvador,BA,9308.35
167,Volkswagen,Tiguan,2017,Azul,Diesel,100,4,118443,Usado - Bom Estado,6,Belo Horizonte,MG,6041.61
168,Honda,Fit,2021,Branco,Flex,100,4,119495,Usado - Bom Estado,36,Recife,PE,8131.61
169,Toyota,Camry,2015,Marrom,Flex,80,2,91839,Usado - Bom Estado,48,Goiânia,GO,5743.8
170,Ford,Ecosport,2020,Verde,Elétrico,75,2,19582,Usado - Como Novo,0,Rio de Janeiro,RJ,9503.27
171,Ford,Ka,2018,Preto,Gasolina,110,4,21526,Usado - Como Novo,6,Manaus,AM,7680.9
172,Toyota,Hilux,2025,Cinza,Híbrido,100,5,115662,Usado - Bom Estado,36,Goiânia,GO,11289.35
173,Chevrolet,Equinox,2022,Branco,Flex,110,4,59213,Usado - Bom Estado,24,Recife,PE,7012.72
174,Honda,HR-V,2017,Cinza,Flex,80,2,113901,Usado - Bom Estado,24,Fortaleza,CE,5383.66
175,Ford,Focus,2012,Vermelho,Gasolina,130,4,235267,Usado - Regular,24,Manaus,AM,4000.0
176,Honda,HR-V,2013,Azul,Gasolina,100,4,6188,Usado - Como Novo,0,Florianópolis,SC,8078.88
177,Fiat,500,2023,Marrom,Híbrido,130,5,31392,Usado - Como Novo,48,Belém,PA,9251.04
178,Hyundai,i30,2017,Beige,Flex,100,4,42326,Usado - Bom Estado,0,Recife,PE,5706.34
179,BMW,Z4,2022,Cinza,Gasolina,200,2,190141,Usado - Regular,0,Fortaleza,CE,16702.81
180,Honda,Fit,2012,Branco,Gasolina,120,4,46247,Usado - Bom Estado,6,Salvador,BA,4819.55
181,Volkswagen,Fox,2022,Laranja,Elétrico,110,2,26176,Usado - Como Novo,36,Belo Horizonte,MG,12453.67
182,Toyota,Corolla,2016,Cinza,Gasolina,80,5,88131,Usado - Bom Estado,48,Curitiba,PR,6996.3
183,BMW,320i,2012,Cinza,Diesel,300,4,95945,Usado - Bom Estado,24,Salvador,BA,20295.21
184,Kia,Picanto,2024,Laranja,Elétrico,85,4,77625,Usado - Bom Estado,12,Porto Alegre,RS,8090.61
185,Volkswagen,Fox,2014,Marrom,Flex,130,4,29,Novo,36,Salvador,BA,10065.47
186,Ford,Ranger,2023,Azul,Híbrido,130,4,18643,Usado - Como Novo,36,Manaus,AM,12433.65
187,Nissan,Sentra,2023,Cinza,Elétrico,110,4,4,Novo,48,Goiânia,GO,14758.01
188,Chevrolet,Malibu,2023,Cinza,Gasolina,60,2,95566,Usado - Bom Estado,0,Fortaleza,CE,5243.59
189,Chevrolet,Equinox,2018,Beige,Diesel,60,4,12835,Usado - Como Novo,0,São Paulo,SP,7756.23
190,Volkswagen,Fox,2016,Laranja,Elétrico,85,2,119347,Usado - Bom Estado,12,Fortaleza,CE,5491.87
191,Toyota,Yaris,2023,Azul,Híbrido,180,4,26158,Usado - Como Novo,6,Curitiba,PR,16970.71
192,Mercedes,A 200,2021,Azul,Flex,300,4,470,Novo,36,São Paulo,SP,54653.85
193,Mercedes,GLA 200,2012,Vermelho,Diesel,250,5,34162,Usado - Como Novo,24,Belo Horizonte,MG,26605.54
194,Ford,Ka,2012,Marrom,Flex,110,5,26523,Usado - Como Novo,0,Curitiba,PR,5840.04
195,Volkswagen,Polo,2019,Vermelho,Flex,100,4,14765,Usado - Como Novo,24,Manaus,AM,10246.93
196,Volkswagen,Gol,2022,Verde,Elétrico,130,4,31681,Usado - Como Novo,6,Manaus,AM,11880.74
197,Fiat,Palio,2025,Preto,Elétrico,75,4,336899,Usado - Regular,12,Manaus,AM,4000.0
198,Mercedes,E 350,2024,Marrom,Gasolina,200,2,323241,Usado - Regular,0,Belém,PA,9519.57
199,Mercedes,A 200,2020,Verde,Gasolina,250,4,45434,Usado - Bom Estado,0,Rio de Janeiro,RJ,27051.4
200,Nissan,March,2018,Preto,Diesel,85,2,18464,Usado - Como Novo,48,Belo Horizonte,MG,8383.24
201,Ford,Fusion,2024,Branco,Híbrido,75,5,102183,Usado - Bom Estado,36,Manaus,AM,8069.49
202,Toyota,Yaris,2014,Marrom,Gasolina,80,4,129,Novo,24,Curitiba,PR,11342.13
203,Honda,HR-V,2023,Laranja,Flex,180,4,457,Novo,24,São Paulo,SP,18358.68
204,Mercedes,C 300,2017,Verde,Elétrico,300,2,81632,Usado - Bom Estado,24,Goiânia,GO,28763.97
205,Ford,Focus,2014,Cinza,Flex,100,4,80553,Usado - Bom Estado,12,Manaus,AM,4300.48
206,Toyota,Yaris,2021,Vermelho,Flex,180,4,24017,Usado - Como Novo,12,Rio de Janeiro,RJ,13944.25
207,Toyota,Camry,2015,Preto,Diesel,80,2,61702,Usado - Bom Estado,48,Salvador,BA,6951.06
208,Ford,Ecosport,2023,Verde,Gasolina,60,4,243,Novo,12,Manaus,AM,12447.74
209,Toyota,Camry,2015,Prata,Gasolina,120,5,25101,Usado - Como Novo,0,Salvador,BA,9378.77
210,Honda,Fit,2014,Marrom,Híbrido,80,2,101950,Usado - Bom Estado,0,Curitiba,PR,5570.58
211,Chevrolet,Onix,2021,Vermelho,Flex,110,4,15803,Usado - Como Novo,6,Porto Alegre,RS,8426.04
212,Fiat,500,2017,Azul,Flex,150,4,108714,Usado - Bom Estado,0,Belém,PA,4000.0
213,Ford,Ecosport,2016,Vermelho,Flex,85,4,816,Usado - Como Novo,24,Fortaleza,CE,7609.48
214,Honda,CR-V,2022,Verde,Flex,180,4,37685,Usado - Como Novo,0,Belo Horizonte,MG,12948.14
215,Fiat,500,2020,Laranja,Gasolina,85,4,291928,Usado - Regular,6,Curitiba,PR,4000.0
216,Volkswagen,Gol,2020,Branco,Gasolina,85,4,24529,Usado - Como Novo,0,Salvador,BA,9381.71
217,Volkswagen,Gol,2014,Preto,Elétrico,130,4,76631,Usado - Bom Estado,12,Belém,PA,6023.92
218,Fiat,Doblo,2024,Vermelho,Elétrico,85,4,21844,Usado - Como Novo,48,Rio de Janeiro,RJ,9238.61
219,Ford,Focus,2020,Branco,Gasolina,150,4,9280,Usado - Como Novo,12,Goiânia,GO,7925.81
220,Kia,Soul,2024,Cinza,Flex,75,4,165,Novo,36,Fortaleza,CE,12751.38
221,Ford,Ka,2023,Azul,Gasolina,130,4,18474,Usado - Como Novo,24,Belém,PA,9952.14
222,Chevrolet,Equinox,2014,Beige,Diesel,60,4,29337,Usado - Como Novo,6,Goiânia,GO,7015.04
223,Toyota,Camry,2015,Cinza,Flex,200,5,33219,Usado - Como Novo,48,Manaus,AM,11833.34
224,Hyundai,i30,2012,Prata,Elétrico,110,5,183930,Usado - Regular,24,Fortaleza,CE,4000.0
225,Volkswagen,T-Cross,2016,Azul,Flex,100,4,119670,Usado - Bom Estado,36,Recife,PE,5780.86
226,Volkswagen,Fox,2023,Prata,Híbrido,75,4,4473,Usado - Como Novo,0,Rio de Janeiro,RJ,12116.0
227,Audi,Q5,2020,Laranja,Gasolina,180,4,324,Novo,0,Salvador,BA,50475.26
228,Hyundai,Bayon,2013,Preto,Elétrico,85,4,338366,Usado - Regular,12,Curitiba,PR,4000.0
229,Mercedes,Sprinter,2015,Cinza,Diesel,280,4,64,Novo,36,Manaus,AM,42239.38
230,Ford,Fusion,2021,Laranja,Gasolina,130,4,472,Novo,36,Porto Alegre,RS,11647.18
231,Nissan,X-Trail,2013,Marrom,Diesel,100,4,35227,Usado - Como Novo,48,Recife,PE,5825.91
232,Chevrolet,Trax,2025,Beige,Elétrico,85,2,133079,Usado - Regular,48,Salvador,BA,5081.95
233,Chevrolet,Trax,2019,Azul,Diesel,85,2,25096,Usado - Como Novo,12,Belém,PA,8049.31
234,Chevrolet,Malibu,2020,Preto,Elétrico,150,4,27303,Usado - Como Novo,24,Manaus,AM,11861.88
235,Honda,CR-V,2014,Preto,Flex,150,5,72900,Usado - Bom Estado,0,Rio de Janeiro,RJ,6360.99
236,Fiat,Punto,2024,Vermelho,Flex,75,4,192690,Usado - Regular,12,Belém,PA,4000.0
237,Volkswagen,Fox,2020,Marrom,Flex,150,4,73557,Usado - Bom Estado,0,Manaus,AM,7686.01
238,Toyota,Hilux,2017,Preto,Elétrico,150,4,20340,Usado - Como Novo,0,Fortaleza,CE,13124.16
239,Ford,Ecosport,2017,Verde,Flex,110,4,133598,Usado - Regular,24,Belo Horizonte,MG,4000.0
240,Honda,Accord,2018,Marrom,Elétrico,200,2,151,Novo,48,Belém,PA,15982.18
241,BMW,Z4,2023,Beige,Gasolina,300,5,71020,Usado - Bom Estado,48,Manaus,AM,41317.71
242,BMW,X3,2016,Beige,Flex,150,4,39541,Usado - Como Novo,36,Belo Horizonte,MG,31286.43
243,Mercedes,A 200,2017,Prata,Gasolina,200,5,90750,Usado - Bom Estado,36,Fortaleza,CE,25001.37
244,Hyundai,Creta,2022,Beige,Flex,60,4,40,Novo,12,Belo Horizonte,MG,11893.11
245,Toyota,RAV4,2012,Verde,Gasolina,80,4,36810,Usado - Como Novo,24,Belo Horizonte,MG,6389.02
