ClienteID,Idade,Genero,EstadoCivil,Dependentes,Escolaridade,RendaMensal,TipoEmprego,TempoEmprego,TipoCredito,ValorCredito,Prazo,HistoricoCredito,Inadimplente,Score
CLI000019,41,Feminino,Viúvo,0,Superior,5059,CLT,2,Pessoal,5107,29,Ruim,Não,554
CLI000020,51,Feminino,Casado,2,Médio,3055,Servidor Público,26,Pessoal,3292,40,Regular,Não,741
CLI000021,28,Masculino,Casado,3,Superior,5715,Servidor Público,2,Consignado,12019,47,Bom,Não,850
CLI000022,31,Masculino,Casado,2,Médio,2052,Autônomo,11,Veículo,31808,28,Bom,Não,807
CLI000023,53,Feminino,Divorciado,3,Fundamental,2397,Autônomo,13,Veículo,49440,46,Regular,Sim,530
CLI000024,30,Masculino,Solteiro,0,Médio,2463,CLT,2,Cartão,5289,11,Bom,Não,849
CLI000025,59,Feminino,Divorciado,2,Médio,2921,CLT,30,Cartão,886,12,Ruim,Não,472
CLI000026,59,Feminino,Solteiro,0,Fundamental,2149,CLT,30,Veículo,48891,44,Bom,Sim,675
CLI000027,71,Feminino,Solteiro,2,Médio,2407,Aposentado,0,Consignado,6395,37,Bom,Não,796
CLI000028,61,Masculino,Casado,3,Superior,5841,Autônomo,14,Consignado,3502,34,Ruim,Não,468
CLI000029,59,Feminino,Solteiro,0,Superior,6733,Servidor Público,30,Veículo,24067,28,Bom,Não,850
CLI000030,20,Masculino,Casado,3,Médio,2176,Autônomo,0,Cartão,3966,8,Regular,Não,681
CLI000031,33,Feminino,Casado,0,Médio,2683,CLT,13,Consignado,2158,33,Bom,Não,850
CLI000032,69,Masculino,Divorciado,0,Superior,3570,Aposentado,0,Veículo,42063,38,Regular,Sim,585
CLI000033,40,Masculino,Casado,1,Superior,5604,Servidor Público,13,Cartão,5044,6,Regular,Não,849
CLI000034,64,Masculino,Solteiro,3,Fundamental,2909,Servidor Público,19,Veículo,35000,44,Bom,Não,850
CLI000035,34,Feminino,Solteiro,0,Médio,2602,Servidor Público,15,Cartão,3345,9,Bom,Não,850
CLI000036,73,Feminino,Viúvo,0,Médio,1722,Aposentado,0,Veículo,24540,47,Bom,Não,733
CLI000037,29,Feminino,Solteiro,0,Superior,3986,CLT,3,Pessoal,4075,37,Regular,Não,730
CLI000038,56,Masculino,Viúvo,3,Pós-graduação,8578,Servidor Público,4,Veículo,55452,24,Ruim,Sim,434
CLI000039,31,Feminino,Casado,3,Médio,2091,CLT,11,Veículo,58628,28,Bom,Sim,713
CLI000040,34,Masculino,Solteiro,1,Médio,2054,CLT,5,Consignado,5649,21,Bom,Não,847
CLI000041,50,Feminino,Solteiro,3,Pós-graduação,6947,CLT,30,Veículo,39399,33,Bom,Sim,786
CLI000042,35,Masculino,Casado,2,Superior,4116,CLT,2,Consignado,5570,41,Regular,Não,786
CLI000043,55,Masculino,Solteiro,2,Superior,3945,CLT,16,Veículo,46387,25,Bom,Sim,685
CLI000044,34,Masculino,Casado,1,Médio,2674,Servidor Público,14,Cartão,4369,10,Bom,Não,850
CLI000045,19,Feminino,Solteiro,3,Médio,1869,CLT,0,Veículo,55484,40,Bom,Sim,628
CLI000046,35,Masculino,Casado,2,Pós-graduação,8198,Servidor Público,1,Pessoal,15781,22,Bom,Não,850
CLI000047,52,Feminino,Solteiro,2,Superior,4967,Servidor Público,28,Consignado,2723,34,Ruim,Não,531
CLI000048,45,Feminino,Casado,3,Pós-graduação,9468,Servidor Público,15,Pessoal,22104,37,Ruim,Não,628
CLI000049,25,Masculino,Solteiro,3,Superior,5433,Servidor Público,1,Cartão,2529,6,Regular,Não,825
CLI000050,43,Masculino,Casado,2,Superior,4726,CLT,10,Consignado,5512,36,Bom,Não,850
CLI000051,37,Feminino,Casado,3,Médio,2106,CLT,11,Pessoal,3161,29,Ruim,Não,495
CLI000052,33,Masculino,Solteiro,3,Médio,1902,Autônomo,5,Veículo,65230,25,Bom,Não,761
CLI000053,24,Feminino,Solteiro,3,Superior,3077,Autônomo,0,Pessoal,9733,17,Regular,Sim,522
CLI000054,36,Feminino,Casado,1,Superior,4306,Autônomo,0,Veículo,30062,40,Regular,Sim,559
CLI000055,70,Feminino,Viúvo,0,Superior,3746,Aposentado,0,Consignado,7971,14,Regular,Não,729
CLI000056,26,Masculino,Solteiro,1,Médio,2941,Servidor Público,4,Pessoal,9296,37,Bom,Não,850
CLI000057,50,Masculino,Casado,2,Superior,6680,Servidor Público,4,Veículo,37921,39,Bom,Não,850
CLI000058,49,Feminino,Divorciado,0,Superior,5324,Autônomo,2,Pessoal,15663,12,Regular,Não,741
CLI000059,30,Masculino,Solteiro,1,Pós-graduação,3193,Autônomo,7,Cartão,4512,12,Bom,Não,848
CLI000060,48,Feminino,Viúvo,1,Médio,3920,Servidor Público,20,Consignado,6124,37,Bom,Não,850
CLI000061,36,Feminino,Solteiro,2,Médio,3185,Servidor Público,15,Veículo,38401,46,Bom,Não,850
CLI000062,23,Feminino,Solteiro,0,Superior,3205,CLT,3,Consignado,2281,42,Bom,Não,837
CLI000063,65,Feminino,Solteiro,1,Pós-graduação,6518,CLT,14,Pessoal,16841,13,Bom,Não,850
CLI000064,31,Feminino,Solteiro,0,Pós-graduação,6527,Autônomo,9,Consignado,12304,43,Ruim,Sim,389
CLI000065,74,Feminino,Viúvo,3,Superior,3480,Aposentado,0,Veículo,25131,29,Regular,Sim,564
CLI000066,23,Masculino,Solteiro,1,Superior,3425,CLT,3,Cartão,5448,7,Bom,Não,850
CLI000067,20,Feminino,Casado,0,Médio,2846,Servidor Público,1,Veículo,60703,32,Bom,Sim,710
CLI000068,70,Feminino,Viúvo,0,Pós-graduação,4782,Aposentado,0,Pessoal,7719,20,Bom,Não,838
CLI000069,65,Feminino,Viúvo,3,Médio,2575,Autônomo,20,Veículo,39959,27,Bom,Sim,601
CLI000070,39,Feminino,Solteiro,2,Médio,1647,Autônomo,19,Pessoal,3596,18,Bom,Não,731
CLI000071,21,Feminino,Solteiro,1,Médio,2357,CLT,2,Veículo,23932,35,Bom,Sim,671
CLI000072,23,Feminino,Casado,1,Médio,1924,CLT,0,Veículo,34126,48,Ruim,Sim,300
CLI000073,55,Masculino,Solteiro,1,Pós-graduação,7664,CLT,18,Consignado,13913,15,Ruim,Não,552
CLI000074,18,Feminino,Casado,2,Superior,4510,Servidor Público,0,Veículo,44390,39,Regular,Não,771
CLI000075,52,Masculino,Divorciado,2,Superior,5269,Autônomo,28,Veículo,36703,27,Regular,Sim,588
CLI000076,72,Masculino,Divorciado,1,Pós-graduação,5254,Aposentado,0,Cartão,3925,6,Regular,Não,784
CLI000077,45,Feminino,Casado,0,Médio,3492,Autônomo,12,Veículo,30910,28,Bom,Não,802
CLI000078,29,Masculino,Casado,3,Superior,3789,CLT,5,Veículo,28514,29,Regular,Sim,593
CLI000079,21,Feminino,Solteiro,3,Superior,4489,Autônomo,1,Cartão,5000,6,Bom,Sim,630
CLI000080,39,Masculino,Solteiro,2,Superior,5360,Autônomo,8,Pessoal,5146,28,Bom,Não,850
CLI000081,73,Masculino,Divorciado,3,Médio,2392,Aposentado,0,Cartão,1056,9,Bom,Não,783
CLI000082,50,Masculino,Viúvo,0,Pós-graduação,9446,Servidor Público,22,Cartão,4613,12,Bom,Não,850
CLI000083,28,Feminino,Solteiro,3,Médio,3352,Servidor Público,8,Pessoal,7893,27,Ruim,Não,482
CLI000084,42,Masculino,Divorciado,1,Médio,3236,CLT,5,Consignado,6815,37,Regular,Não,778
CLI000085,32,Masculino,Solteiro,2,Pós-graduação,4926,Autônomo,5,Consignado,11848,44,Ruim,Não,494
CLI000086,64,Masculino,Divorciado,0,Pós-graduação,9056,Autônomo,13,Consignado,16981,37,Regular,Sim,597
CLI000087,74,Feminino,Solteiro,1,Superior,3108,Aposentado,0,Pessoal,6282,19,Regular,Sim,574
CLI000088,24,Masculino,Casado,2,Superior,4912,Servidor Público,5,Veículo,26641,31,Bom,Não,850
CLI000089,54,Masculino,Divorciado,3,Médio,3227,Autônomo,7,Pessoal,9992,35,Bom,Sim,606
CLI000090,50,Masculino,Casado,2,Superior,4903,CLT,8,Consignado,8267,30,Regular,Não,798
CLI000091,46,Feminino,Solteiro,0,Superior,5180,CLT,27,Veículo,61843,28,Ruim,Sim,430
CLI000092,24,Feminino,Casado,3,Médio,2395,Servidor Público,2,Cartão,5139,6,Bom,Não,847
CLI000093,39,Feminino,Casado,3,Pós-graduação,6538,Autônomo,16,Consignado,6151,29,Bom,Não,850
CLI000094,30,Masculino,Casado,2,Pós-graduação,3528,Autônomo,9,Cartão,5151,8,Bom,Não,833
CLI000095,25,Masculino,Casado,1,Superior,3287,CLT,2,Pessoal,8101,38,Regular,Não,767
CLI000096,44,Masculino,Divorciado,1,Médio,3085,Autônomo,10,Cartão,5063,7,Bom,Não,798
CLI000097,44,Feminino,Solteiro,0,Pós-graduação,6983,CLT,15,Pessoal,6558,37,Bom,Não,850
CLI000098,52,Masculino,Viúvo,2,Pós-graduação,8614,Autônomo,14,Pessoal,9533,12,Bom,Não,835
CLI000099,22,Feminino,Solteiro,3,Médio,1892,Autônomo,0,Veículo,22966,43,Bom,Sim,557
CLI000100,58,Feminino,Casado,1,Pós-graduação,6531,Autônomo,6,Cartão,5034,9,Regular,Sim,607
CLI000101,47,Feminino,Viúvo,1,Médio,2506,CLT,17,Veículo,69549,45,Regular,Sim,602
CLI000102,33,Masculino,Solteiro,0,Superior,3714,Autônomo,10,Veículo,31809,47,Bom,Sim,658
CLI000103,55,Masculino,Casado,1,Fundamental,1343,Autônomo,30,Pessoal,1543,20,Bom,Não,728
CLI000104,62,Masculino,Casado,3,Superior,5750,Servidor Público,30,Veículo,48529,32,Bom,Não,850
CLI000105,18,Feminino,Casado,1,Médio,3372,Servidor Público,0,Veículo,34793,33,Ruim,Sim,355
CLI000106,61,Masculino,Casado,1,Pós-graduação,7445,Autônomo,10,Consignado,12100,14,Regular,Não,753
CLI000107,44,Masculino,Divorciado,1,Médio,2885,CLT,14,Veículo,43977,43,Bom,Não,847
CLI000108,23,Feminino,Solteiro,3,Superior,3100,CLT,2,Pessoal,4255,29,Ruim,Sim,342
CLI000109,19,Feminino,Casado,0,Superior,4308,CLT,0,Pessoal,6277,40,Ruim,Sim,344
CLI000110,24,Feminino,Solteiro,2,Médio,2889,Servidor Público,1,Veículo,31908,30,Regular,Sim,585
CLI000111,63,Masculino,Casado,2,Médio,2696,CLT,8,Cartão,4106,12,Regular,Não,747
CLI000112,31,Masculino,Casado,1,Pós-graduação,5046,Autônomo,4,Veículo,25172,42,Bom,Sim,744
CLI000113,34,Masculino,Casado,0,Superior,4414,CLT,3,Consignado,8996,30,Bom,Não,850
CLI000114,24,Feminino,Casado,0,Médio,3326,Autônomo,5,Pessoal,1290,35,Regular,Sim,532
CLI000115,18,Feminino,Solteiro,0,Superior,4186,CLT,0,Consignado,9057,37,Bom,Sim,698
CLI000116,74,Masculino,Casado,0,Pós-graduação,5190,Aposentado,0,Cartão,3505,7,Regular,Não,795
CLI000117,26,Feminino,Solteiro,2,Médio,3461,Servidor Público,0,Pessoal,1958,36,Bom,Não,845
CLI000118,69,Feminino,Divorciado,3,Médio,2266,Aposentado,0,Pessoal,2708,14,Bom,Não,808
CLI000119,62,Feminino,Casado,1,Médio,3264,Servidor Público,1,Pessoal,1416,39,Ruim,Não,493
CLI000120,23,Masculino,Solteiro,0,Médio,3034,Servidor Público,2,Veículo,45501,30,Ruim,Sim,338
CLI000121,50,Masculino,Casado,0,Superior,4857,Servidor Público,17,Veículo,51703,28,Regular,Sim,656
CLI000122,68,Feminino,Viúvo,0,Médio,2047,Aposentado,0,Veículo,35668,25,Regular,Sim,563
CLI000123,21,Masculino,Solteiro,1,Médio,2454,Servidor Público,1,Cartão,1143,6,Regular,Não,750
CLI000124,32,Masculino,Casado,2,Pós-graduação,7453,Autônomo,9,Pessoal,7454,26,Ruim,Não,544
CLI000125,56,Feminino,Solteiro,3,Pós-graduação,9036,Autônomo,16,Cartão,3210,8,Bom,Não,843
CLI000126,45,Feminino,Divorciado,2,Pós-graduação,5774,Autônomo,19,Veículo,34456,42,Bom,Não,850
CLI000127,28,Feminino,Solteiro,1,Médio,2422,CLT,3,Pessoal,6397,29,Ruim,Sim,327
CLI000128,30,Feminino,Casado,1,Pós-graduação,6681,CLT,9,Pessoal,11126,37,Bom,Não,850
CLI000129,56,Masculino,Solteiro,2,Fundamental,2642,Servidor Público,22,Cartão,649,7,Regular,Não,747
CLI000130,67,Masculino,Divorciado,3,Fundamental,1589,Aposentado,0,Pessoal,4198,42,Bom,Não,740
CLI000131,63,Feminino,Casado,1,Superior,6173,Servidor Público,30,Cartão,5182,10,Bom,Não,850
CLI000132,34,Feminino,Casado,1,Superior,5675,Autônomo,5,Consignado,4117,12,Regular,Sim,630
CLI000133,29,Feminino,Solteiro,3,Médio,2666,Autônomo,5,Pessoal,8893,30,Bom,Não,751
CLI000134,64,Masculino,Solteiro,0,Fundamental,1785,Autônomo,10,Pessoal,5036,29,Ruim,Não,378
CLI000135,53,Feminino,Solteiro,0,Pós-graduação,8495,Autônomo,26,Consignado,8241,28,Ruim,Sim,341
CLI000136,22,Feminino,Casado,3,Superior,3052,CLT,2,Consignado,5238,47,Bom,Não,850
CLI000137,71,Feminino,Viúvo,3,Superior,3401,Aposentado,0,Pessoal,5253,37,Bom,Não,823
CLI000138,43,Masculino,Viúvo,2,Pós-graduação,3678,Autônomo,15,Consignado,8353,25,Bom,Não,847
CLI000139,48,Feminino,Divorciado,1,Médio,3951,Servidor Público,16,Cartão,928,9,Bom,Não,850
CLI000140,61,Masculino,Casado,2,Pós-graduação,7036,Autônomo,30,Consignado,12275,32,Regular,Sim,618
CLI000141,32,Feminino,Solteiro,3,Pós-graduação,5318,CLT,9,Cartão,1845,6,Bom,Não,850
CLI000142,42,Feminino,Solteiro,3,Médio,2416,CLT,12,Consignado,3609,35,Ruim,Não,519
CLI000143,57,Feminino,Casado,0,Superior,3453,Autônomo,2,Pessoal,3793,16,Bom,Não,810
CLI000144,43,Masculino,Solteiro,3,Médio,3213,CLT,8,Consignado,7445,12,Bom,Não,850
CLI000145,55,Masculino,Viúvo,1,Médio,1626,Autônomo,19,Veículo,49619,34,Regular,Sim,466
CLI000146,46,Masculino,Casado,1,Pós-graduação,5609,Autônomo,19,Veículo,29290,43,Bom,Sim,748
CLI000147,45,Masculino,Divorciado,3,Superior,3761,CLT,0,Cartão,3418,6,Regular,Não,781
CLI000148,71,Masculino,Solteiro,3,Fundamental,1250,Aposentado,0,Consignado,3675,30,Bom,Não,744
CLI000149,44,Feminino,Divorciado,2,Pós-graduação,8560,CLT,12,Consignado,18769,14,Regular,Não,823
CLI000150,71,Feminino,Divorciado,2,Fundamental,1325,Aposentado,0,Cartão,4797,6,Bom,Não,747
CLI000151,73,Feminino,Casado,3,Fundamental,1586,Aposentado,0,Cartão,4537,10,Bom,Sim,588
CLI000152,60,Feminino,Solteiro,3,Fundamental,2573,Servidor Público,27,Pessoal,7853,33,Bom,Sim,716
CLI000153,49,Feminino,Casado,2,Pós-graduação,7631,Servidor Público,30,Cartão,3079,11,Regular,Não,850
CLI000154,43,Feminino,Casado,2,Pós-graduação,8112,Autônomo,24,Cartão,1860,11,Regular,Não,760
CLI000155,47,Masculino,Viúvo,2,Médio,3687,Autônomo,3,Cartão,5118,6,Bom,Não,816
CLI000156,44,Feminino,Viúvo,1,Superior,4517,CLT,21,Consignado,8429,35,Bom,Não,850
CLI000157,65,Masculino,Solteiro,3,Médio,3129,Autônomo,30,Veículo,36003,31,Ruim,Sim,300
CLI000158,31,Feminino,Solteiro,1,Pós-graduação,6878,Servidor Público,2,Veículo,68983,29,Bom,Não,850
CLI000159,34,Feminino,Casado,2,Médio,2631,Servidor Público,7,Pessoal,1688,41,Ruim,Não,525
CLI000160,65,Masculino,Casado,1,Médio,3353,CLT,30,Pessoal,2952,15,Regular,Não,728
CLI000161,48,Feminino,Viúvo,0,Médio,1971,Autônomo,14,Pessoal,1664,25,Regular,Não,662
CLI000162,67,Feminino,Divorciado,3,Pós-graduação,5212,Aposentado,0,Cartão,1348,6,Ruim,Não,520
CLI000163,18,Feminino,Solteiro,1,Superior,3987,CLT,0,Consignado,3341,15,Regular,Sim,587
CLI000164,22,Masculino,Solteiro,3,Superior,3961,Autônomo,3,Veículo,44951,44,Regular,Sim,537
CLI000165,59,Masculino,Divorciado,1,Médio,3151,Servidor Público,15,Pessoal,3101,22,Ruim,Sim,346
CLI000166,48,Feminino,Viúvo,1,Pós-graduação,7362,Autônomo,11,Cartão,2285,6,Ruim,Não,538
CLI000167,74,Masculino,Viúvo,3,Superior,3778,Aposentado,0,Consignado,6264,34,Bom,Não,814
CLI000168,28,Feminino,Solteiro,1,Superior,2507,Autônomo,8,Consignado,3933,15,Bom,Não,806
CLI000169,35,Feminino,Casado,0,Médio,2343,CLT,10,Cartão,5248,9,Bom,Não,850
CLI000170,42,Masculino,Divorciado,0,Médio,3074,CLT,9,Cartão,987,7,Bom,Não,841
CLI000171,23,Feminino,Solteiro,2,Médio,2555,Autônomo,0,Pessoal,7244,30,Regular,Não,675
CLI000172,54,Masculino,Casado,3,Superior,4701,Autônomo,18,Pessoal,5367,25,Bom,Não,806
CLI000173,71,Masculino,Casado,2,Fundamental,1467,Aposentado,0,Pessoal,4481,39,Regular,Não,658
CLI000174,60,Feminino,Divorciado,2,Superior,4052,CLT,15,Consignado,10003,13,Regular,Não,738
CLI000175,59,Masculino,Casado,1,Pós-graduação,12045,Servidor Público,29,Veículo,20672,45,Ruim,Não,637
CLI000176,62,Masculino,Divorciado,3,Superior,4205,CLT,30,Veículo,23015,33,Bom,Não,850
CLI000177,28,Feminino,Solteiro,1,Superior,3449,Autônomo,5,Pessoal,5136,18,Regular,Não,691
CLI000178,43,Feminino,Casado,2,Pós-graduação,5036,Autônomo,15,Pessoal,6053,35,Regular,Não,776
CLI000179,31,Masculino,Casado,2,Médio,3081,Autônomo,0,Veículo,67123,32,Bom,Não,816
CLI000180,35,Feminino,Casado,2,Médio,2937,Servidor Público,10,Pessoal,8498,17,Bom,Não,850
CLI000181,59,Masculino,Divorciado,1,Superior,6325,Servidor Público,8,Veículo,61544,34,Ruim,Sim,403
CLI000182,72,Feminino,Divorciado,0,Pós-graduação,5389,Aposentado,0,Cartão,1695,8,Bom,Não,850
CLI000183,31,Masculino,Casado,2,Médio,2459,Servidor Público,2,Pessoal,7872,34,Ruim,Não,523
CLI000184,24,Feminino,Solteiro,1,Médio,3468,Servidor Público,5,Veículo,46722,47,Regular,Não,737
CLI000185,39,Masculino,Casado,1,Superior,4178,Autônomo,2,Cartão,4416,7,Bom,Não,809
CLI000186,18,Feminino,Casado,1,Superior,3350,Autônomo,0,Consignado,5777,45,Bom,Sim,627
CLI000187,71,Masculino,Viúvo,3,Médio,1813,Aposentado,0,Cartão,1317,10,Ruim,Não,414
CLI000188,71,Feminino,Solteiro,3,Médio,1798,Aposentado,0,Veículo,69428,47,Regular,Não,633
CLI000189,29,Masculino,Solteiro,2,Médio,1878,CLT,10,Cartão,1367,8,Bom,Não,782
CLI000190,49,Feminino,Viúvo,1,Médio,3693,Servidor Público,19,Consignado,5373,48,Bom,Não,850
CLI000191,69,Masculino,Solteiro,1,Pós-graduação,5918,Aposentado,0,Pessoal,14647,18,Ruim,Sim,385
CLI000192,22,Feminino,Casado,3,Médio,3453,Servidor Público,0,Pessoal,2113,19,Regular,Não,734
CLI000193,69,Masculino,Solteiro,0,Pós-graduação,6359,Aposentado,0,Veículo,50456,47,Regular,Sim,639
CLI000194,24,Masculino,Casado,2,Médio,2277,CLT,5,Cartão,807,6,Bom,Não,848
CLI000195,67,Feminino,Viúvo,1,Médio,2109,Aposentado,0,Veículo,50370,41,Bom,Sim,655
CLI000196,35,Masculino,Casado,0,Médio,2346,Servidor Público,6,Pessoal,7762,29,Bom,Não,850
CLI000197,28,Masculino,Casado,0,Médio,1995,CLT,7,Pessoal,3748,13,Regular,Não,679
CLI000198,18,Masculino,Solteiro,3,Superior,5381,Servidor Público,0,Pessoal,5101,23,Bom,Não,850
CLI000199,38,Feminino,Solteiro,0,Superior,5444,Servidor Público,10,Cartão,2150,9,Bom,Não,850
CLI000200,72,Masculino,Solteiro,2,Médio,2156,Aposentado,0,Cartão,4384,12,Bom,Não,788
CLI000201,51,Feminino,Viúvo,2,Fundamental,2145,CLT,6,Veículo,22186,42,Ruim,Sim,349
CLI000202,42,Masculino,Divorciado,2,Superior,3029,Autônomo,14,Pessoal,2398,15,Regular,Não,711
CLI000203,67,Masculino,Casado,3,Pós-graduação,5688,Aposentado,0,Consignado,12889,45,Ruim,Não,536
CLI000204,73,Feminino,Solteiro,3,Médio,2292,Aposentado,0,Pessoal,1545,29,Regular,Não,705
CLI000205,41,Feminino,Casado,0,Médio,3490,Autônomo,3,Consignado,7065,48,Ruim,Não,443
CLI000206,37,Masculino,Solteiro,1,Médio,2378,Servidor Público,6,Veículo,64399,24,Regular,Não,768
CLI000207,58,Masculino,Casado,3,Superior,6416,Autônomo,30,Cartão,4572,12,Ruim,Não,471
CLI000208,75,Masculino,Viúvo,2,Médio,2361,Aposentado,0,Pessoal,1160,13,Regular,Sim,532
CLI000209,73,Feminino,Viúvo,3,Superior,3059,Aposentado,0,Veículo,21607,46,Regular,Sim,574
CLI000210,49,Feminino,Solteiro,0,Pós-graduação,10329,Servidor Público,11,Veículo,24523,48,Ruim,Não,652
CLI000211,28,Feminino,Casado,0,Superior,2992,Autônomo,3,Veículo,52048,29,Bom,Sim,624
CLI000212,26,Masculino,Solteiro,3,Médio,2189,Autônomo,4,Cartão,818,6,Bom,Não,762
CLI000213,67,Masculino,Solteiro,0,Médio,2420,Aposentado,0,Cartão,1613,7,Regular,Sim,549
CLI000214,35,Feminino,Solteiro,2,Médio,1843,Autônomo,12,Consignado,4513,29,Bom,Não,760
CLI000215,72,Masculino,Divorciado,3,Superior,4109,Aposentado,0,Cartão,2318,9,Bom,Não,834
CLI000216,67,Feminino,Divorciado,0,Pós-graduação,5383,Aposentado,0,Cartão,2535,9,Ruim,Não,535
CLI000217,38,Feminino,Casado,0,Pós-graduação,9048,Servidor Público,15,Pessoal,12941,29,Regular,Não,850
CLI000218,46,Feminino,Viúvo,0,Médio,3135,CLT,23,Consignado,2035,26,Bom,Não,850
CLI000219,40,Masculino,Solteiro,1,Superior,4494,Servidor Público,20,Pessoal,1448,37,Regular,Não,801
CLI000220,25,Masculino,Solteiro,1,Médio,1716,Autônomo,0,Veículo,62322,36,Regular,Sim,483
CLI000221,33,Masculino,Solteiro,2,Superior,2559,Autônomo,6,Pessoal,2701,41,Ruim,Não,469
CLI000222,73,Feminino,Solteiro,0,Superior,3707,Aposentado,0,Cartão,4820,8,Ruim,Sim,305
CLI000223,22,Masculino,Solteiro,1,Médio,2820,Servidor Público,0,Veículo,34298,47,Bom,Sim,683
CLI000224,57,Feminino,Divorciado,0,Superior,6264,Autônomo,11,Consignado,10281,31,Bom,Sim,685
CLI000225,50,Masculino,Casado,2,Pós-graduação,8384,CLT,11,Consignado,14155,12,Ruim,Não,581
CLI000226,50,Masculino,Divorciado,1,Médio,1505,Autônomo,29,Pessoal,3553,19,Regular,Sim,487
CLI000227,44,Feminino,Divorciado,0,Superior,6652,Autônomo,21,Consignado,11676,38,Bom,Não,842
CLI000228,63,Masculino,Casado,0,Superior,4574,CLT,30,Veículo,28329,39,Regular,Sim,599
CLI000229,31,Masculino,Casado,2,Médio,2245,Autônomo,8,Cartão,1635,10,Regular,Não,693
CLI000230,33,Masculino,Casado,0,Superior,2426,Autônomo,9,Cartão,617,8,Bom,Não,839
CLI000231,71,Masculino,Viúvo,2,Fundamental,1180,Aposentado,0,Veículo,59861,47,Bom,Não,734
CLI000232,69,Masculino,Viúvo,1,Pós-graduação,6357,Aposentado,0,Cartão,1126,6,Ruim,Sim,375
CLI000233,28,Masculino,Casado,0,Médio,2483,Servidor Público,0,Pessoal,6225,32,Bom,Não,837
CLI000234,37,Masculino,Solteiro,0,Pós-graduação,7263,Autônomo,7,Pessoal,12546,37,Bom,Não,850
CLI000235,45,Masculino,Casado,1,Pós-graduação,10325,Autônomo,21,Veículo,60485,31,Regular,Sim,656
CLI000236,63,Masculino,Casado,1,Pós-graduação,8668,Autônomo,3,Pessoal,16748,17,Regular,Sim,597
CLI000237,43,Feminino,Divorciado,2,Superior,6644,Servidor Público,21,Consignado,14241,14,Bom,Não,850
CLI000238,68,Masculino,Casado,1,Médio,2357,Aposentado,0,Cartão,2897,11,Ruim,Sim,310
CLI000239,75,Masculino,Viúvo,1,Fundamental,1176,Aposentado,0,Pessoal,2692,42,Regular,Não,636
CLI000240,29,Masculino,Solteiro,2,Médio,2487,CLT,0,Cartão,3979,7,Bom,Não,833
CLI000241,34,Feminino,Solteiro,2,Médio,3261,Autônomo,7,Cartão,1828,8,Bom,Não,783
CLI000242,37,Masculino,Casado,0,Pós-graduação,9040,Autônomo,13,Cartão,5479,12,Bom,Não,850
CLI000243,49,Masculino,Viúvo,3,Pós-graduação,7010,CLT,17,Pessoal,3635,25,Regular,Não,826
CLI000244,48,Feminino,Casado,3,Médio,3377,Servidor Público,14,Cartão,880,7,Bom,Não,850
CLI000245,28,Feminino,Solteiro,2,Médio,2571,CLT,3,Veículo,38091,41,Ruim,Sim,343
CLI000246,21,Feminino,Casado,0,Médio,3113,Servidor Público,0,Cartão,1942,7,Ruim,Sim,347
CLI000247,75,Feminino,Casado,2,Médio,1733,Aposentado,0,Veículo,40087,36,Regular,Sim,514
